account_number,user_id,account_type,account_balance,opened_date
1001,USR001,Cash ISA,21500.0,2023-06-15
1031,USR001,Stocks and Shares ISA,16500.0,2024-05-10
1002,USR002,Cash ISA,18000.0,2024-04-10
1003,USR002,Cash ISA,5000.0,2023-07-20
1004,USR003,Cash ISA,22500.0,2022-09-05
1032,USR003,Lifetime ISA,18000.0,2023-11-20
1005,USR007,Cash ISA,15000.0,2024-01-12
1006,USR007,Stocks and Shares ISA,8500.0,2024-06-20
1007,USR008,Cash ISA,9500.0,2023-11-08
1008,USR008,Cash ISA,7500.0,2024-08-15
1033,USR008,Stocks and Shares ISA,11000.0,2024-02-15
1009,USR009,Current Account,3200.0,2020-03-10
1010,USR010,Cash ISA,20000.0,2025-08-22
1011,USR011,Cash ISA,11000.0,2025-06-10
1012,USR011,Cash ISA,6500.0,2024-09-18
1013,USR012,Lifetime ISA,25000.0,2023-02-14
1014,USR012,Current Account,5000.0,2019-05-20
1015,USR014,Stocks and Shares ISA,16500.0,2024-05-11
1016,USR014,Cash ISA,12000.0,2025-07-09
1017,USR015,Cash ISA,25000.0,2024-03-22
1034,USR015,Lifetime ISA,32000.0,2023-08-10
1018,USR016,Cash ISA,14000.0,2024-02-01
1019,USR017,Innovative Finance ISA,9000.0,2023-10-15
1020,USR017,Current Account,2500.0,2021-01-08
1021,USR018,Cash ISA,2500.0,2025-06-25
1035,USR018,Stocks and Shares ISA,5500.0,2024-09-12
1022,USR020,Cash ISA,11000.0,2025-07-03
1023,USR020,Cash ISA,8500.0,2024-08-20
1024,USR021,Cash ISA,23000.0,2024-04-15
1036,USR021,Lifetime ISA,34000.0,2023-01-18
1037,USR021,Stocks and Shares ISA,6000.0,2024-11-15
1025,USR022,Stocks and Shares ISA,12000.0,2023-09-12
1026,USR022,Cash ISA,10000.0,2024-10-20
1027,USR023,Current Account,4000.0,2018-06-10
1028,USR024,Cash ISA,6000.0,2025-06-04
1029,USR025,Lifetime ISA,32000.0,2022-01-20
1030,USR025,Cash ISA,9500.0,2024-05-18
