transaction_id,account_number,user_id,amount,date,type
TXN002,1001,USR001,6000.00,2025-07-10,contribution
TXN003,1001,USR001,6000.00,2026-01-15,contribution
TXN055,1031,USR001,8000.00,2025-10-15,contribution
TXN005,1002,USR002,3000.00,2025-06-05,contribution
TXN008,1004,USR003,2500.00,2026-01-20,contribution
TXN010,1005,USR007,3000.00,2025-06-15,contribution
TXN012,1006,USR007,5000.00,2025-10-01,contribution
TXN014,1007,USR008,1000.00,2025-06-20,contribution
TXN017,1010,USR010,10000.00,2025-08-22,opening_deposit
TXN018,1010,USR010,10000.00,2025-11-30,contribution
TXN019,1011,USR011,8000.00,2025-06-10,opening_deposit
TXN020,1011,USR011,3000.00,2025-08-05,contribution
TXN026,1015,USR014,2500.00,2025-12-01,contribution
TXN027,1016,USR014,10000.00,2025-07-09,opening_deposit
TXN028,1016,USR014,2000.00,2026-01-10,contribution
TXN030,1017,USR015,10000.00,2025-06-20,contribution
TXN056,1034,USR015,10000.00,2025-12-20,contribution
TXN032,1018,USR016,4000.00,2025-06-15,contribution
TXN033,1018,USR016,6000.00,2025-08-10,contribution
TXN036,1021,USR018,2000.00,2025-06-25,opening_deposit
TXN037,1021,USR018,500.00,2025-10-15,contribution
TXN038,1022,USR020,9000.00,2025-07-03,opening_deposit
TXN039,1022,USR020,2000.00,2026-01-05,contribution
TXN043,1024,USR021,8000.00,2025-06-10,contribution
TXN057,1036,USR021,6000.00,2025-11-10,contribution
TXN058,1037,USR021,6000.00,2025-09-15,contribution
TXN045,1025,USR022,3000.00,2025-11-20,contribution
TXN047,1026,USR022,2000.00,2025-07-15,contribution
TXN050,1028,USR024,1000.00,2025-09-30,contribution
TXN054,1030,USR025,1500.00,2025-07-20,contribution
TXN0059,1007,USR008,500.0,2026-03-04,contribution
TXN0060,1007,USR008,500.0,2026-03-04,contribution
